# Generated by from ihu_topmodel.bsh start_date=2010-01-01 end_date=2019-12-31
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.001629 .00022
0.002078 .00026
0.000306 .00032
0.000446 0
0.008860 .00014
0.001768 .00066
0.000161 0
0.000158 .00027
0.000236 .00065
0.000625 .00134
0.001788 .00074
0.001509 .00055
0.003654 .00046
0.003540 0
0.030093 .00013
0.003478 .00036
0.007437 0
0.000236 .00015
0.000632 0
0.000094 .00056
0.009605 .00055
0.000300 .00029
0.005562 .00011
0.001844 .00008
0.000103 .00049
0.000347 .00030
0.000185 .00077
0.003007 .00097
0.000125 .00093
0.000060 .00069
0.000003 .00052
0.007239 .00057
0.002363 .00044
0.000574 .00048
0.000872 .00034
0.005108 .00015
0.000910 0
0.001947 .00040
0.001147 .00072
0.000449 .00105
0.000116 .00101
0.000439 .00074
0.001809 .00074
0.000137 .00039
0.000695 .00036
0.003693 .00046
0.000295 .00032
0.000166 .00022
0.000084 .00037
0.000099 .00045
0.000013 .00060
0.000011 .00044
0.000061 .00097
0.002670 .00077
0.007474 .00076
0.010364 .00091
0.011609 .00032
0.004855 .00061
0.001426 .00067
0.000060 .00103
0.000196 .00087
0.000007 .00071
0.000016 .00055
0.000026 .00095
0.000002 .00040
0.000006 .00087
0.000053 .00096
0.000074 .00094
0.000001 .00097
0.000102 .00122
0.000011 .00063
0.000000 .00103
0.000074 .00139
0.000785 .00062
0.000441 .00109
0.000876 .00135
0.006847 .00214
0.003155 .00190
0.001073 .00019
0.009349 .00151
0.008994 .00099
0.002227 .00182
0.006041 .00124
0.023186 .00105
0.012297 .00168
0.000438 .00188
0.008532 .00178
0.024805 .00089
0.030906 .00066
0.010554 .00171
0.000404 .00202
0.006036 .00155
0.001182 .00174
0.012736 .00171
0.011423 .00127
0.012099 .00188
0.000335 .00208
0.000212 .00130
0.000003 .00191
0.000055 .00286
0.000000 .00224
0.000002 .00250
0.000005 .00156
0.000001 .00223
0.000000 .00096
0.000000 .00275
0.000024 .00282
0.001816 .00156
0.000527 .00179
0.000306 .00265
0.000000 .00262
0.000000 .00250
0.000153 .00316
0.001018 .00355
0.002193 .00215
0.000019 .00319
0.001918 .00252
0.000473 .00256
0.000201 .00234
0.004346 .00245
0.000229 .00229
0.000049 .00183
0.000010 .00216
0.000606 .00334
0.004485 .00235
0.001024 .00116
0.000032 .00274
0.000050 .00305
0.000853 .00298
0.000039 .00247
0.000124 .00252
