# Generated by from ihu_topmodel.bsh start_date=2010-01-01 end_date=2019-12-31
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.034440 .00060
0.004671 .00115
0.000061 .00085
0.000117 .00028
0.011904 0
0.004418 .00033
0.022003 .00054
0.015869 .00078
0.024566 .00113
0.014162 .00132
0.025222 .00105
0.004163 .00115
0.000126 .00096
0.031688 .00116
0.012621 .00186
0.003135 .00146
0.002825 .00077
0.000716 .00058
0.000017 .00036
0.000137 .00027
0.000250 .00085
0.000165 .00017
0.008397 .00055
0.000893 .00129
0.006063 .00071
0.000675 .00095
0.011079 .00080
0.007743 .00132
0.001233 .00105
0.002023 .00074
0.000195 .00142
0.000003 .00149
0.000002 .00120
0.000484 .00081
0.000183 .00131
0.000002 .00054
0.000018 .00033
0.000057 .00049
0.000099 .00073
0.000063 .00029
0.000135 .00013
0.000148 .00059
0.000824 .00073
0.001484 .00065
0.000145 .00037
0.008945 .00049
0.000623 .00063
0.001405 .00113
0.009520 .00084
0.001464 .00088
0.001217 .00101
0.000344 .00120
0.013423 .00081
0.013413 .00177
0.002384 .00187
0.018147 .00133
0.002620 .00108
0.004417 .00152
0.022498 .00124
0.002861 .00163
0.004481 .00160
0.005443 .00187
0.000268 .00168
0.000123 .00100
0.011932 .00142
0.009235 .00162
0.000428 .00133
0.008668 .00123
0.000108 .00154
0.011978 .00125
0.033896 .00140
0.000230 .00135
0.000000 .00166
0.000377 .00159
0.001535 .00119
0.000601 .00107
0.000052 .00117
0.000015 .00169
0.000018 .00161
0.000075 .00138
0.000571 .00163
0.000192 .00172
0.001471 .00145
0.007297 .00168
0.000127 .00138
0.012121 .00200
0.008178 .00114
0.005255 .00134
0.015768 .00219
0.004158 .00259
0.002033 .00206
0.005649 .00209
0.001883 .00104
0.000139 .00186
0.000042 .00236
0.000059 .00212
0.000078 .00232
0.000001 .00258
0.000066 .00257
0.003375 .00281
0.008938 .00246
0.005587 .00126
0.000660 .00244
0.004321 .00235
0.000144 .00177
0.000004 .00258
0.000000 .00238
0.000114 .00257
0.000107 .00206
0.000131 .00304
0.000000 .00281
0.000000 .00274
0.000001 .00339
0.009953 .00315
0.000264 .00074
0.000169 .00336
0.006729 .00349
0.011247 .00297
0.006482 .00296
0.000338 .00262
0.000002 .00295
0.014740 .00296
0.014897 .00124
0.006109 .00349
0.024756 .00172
0.005502 .00206
0.000153 .00264
0.011055 .00289
0.001729 .00158
0.011775 .00257
0.004031 .00362
0.001422 .00341
0.000008 .00321
0.000052 .00233
0.002019 .00389
0.000956 .00278
0.007950 .00267
0.004098 .00298
0.000478 .00349
0.000306 .00394
0.000210 .00381
0.000007 .00293
0.001559 .00386
0.000120 .00308
0.000002 .00226
0.000000 .00275
