# Generated by from ihu_topmodel.bsh start_date=2010-01-01 end_date=2019-12-31
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.001741 .00022
0.005717 .00026
0.000364 .00032
0.000727 0
0.007519 .00014
0.000362 .00066
0.000186 0
0.000265 .00027
0.000288 .00065
0.000081 .00134
0.001483 .00074
0.002018 .00055
0.001832 .00046
0.001953 0
0.015479 .00013
0.000868 .00036
0.005838 0
0.000049 .00015
0.000473 0
0.000076 .00056
0.003974 .00055
0.000730 .00029
0.008885 .00011
0.001930 .00008
0.000067 .00049
0.000318 .00030
0.000123 .00077
0.001357 .00097
0.000023 .00093
0.000003 .00069
0.000002 .00052
0.008279 .00057
0.002252 .00044
0.001205 .00048
0.000275 .00034
0.008063 .00015
0.002686 0
0.002532 .00040
0.002212 .00072
0.000027 .00105
0.000005 .00101
0.000195 .00074
0.001556 .00074
0.000318 .00039
0.001529 .00036
0.002444 .00046
0.000099 .00032
0.000014 .00022
0.000034 .00037
0.000023 .00045
0.000087 .00060
0.000013 .00044
0.000015 .00097
0.004485 .00077
0.011556 .00076
0.013720 .00091
0.015257 .00032
0.002983 .00061
0.002277 .00067
0.000269 .00103
0.000106 .00087
0.000008 .00071
0.000018 .00055
0.000004 .00095
0.000013 .00040
0.000010 .00087
0.000048 .00096
0.000003 .00094
0.000022 .00097
0.000160 .00122
0.000030 .00063
0.000001 .00103
0.000014 .00139
0.000740 .00062
0.000462 .00109
0.000089 .00135
0.001521 .00214
0.000352 .00190
0.000066 .00019
0.002120 .00151
0.004630 .00099
0.000287 .00182
0.002588 .00124
0.017067 .00105
0.008218 .00168
0.000166 .00188
0.010458 .00178
0.021474 .00089
0.022891 .00066
0.010057 .00171
0.000576 .00202
0.004548 .00155
0.002149 .00174
0.007301 .00171
0.004439 .00127
0.004742 .00188
0.000746 .00208
0.000459 .00130
0.000004 .00191
0.000001 .00286
0.000000 .00224
0.000003 .00250
0.000000 .00156
0.000000 .00223
0.000000 .00096
0.000000 .00275
0.000702 .00282
0.000872 .00156
0.000410 .00179
0.000139 .00265
0.000000 .00262
0.000000 .00250
0.002051 .00316
0.001565 .00355
0.002978 .00215
0.000023 .00319
0.003664 .00252
0.000516 .00256
0.000040 .00234
0.001656 .00245
0.000041 .00229
0.000171 .00183
0.000004 .00216
0.001260 .00334
0.004440 .00235
0.001135 .00116
0.000004 .00274
0.000007 .00305
0.000190 .00298
0.000210 .00247
0.003885 .00252
0.000146 .00294
0.007969 .00313
0.002642 .00305
0.000985 .00358
0.000134 .00179
0.000005 .00311
0.000485 .00433
0.000109 .00373
0.000003 .00395
0.000095 .00470
0.000003 .00528
0.000001 .00540
0.000261 .00262
0.001619 .00288
0.000109 .00212
0.003207 .00306
0.000133 .00363
0.004915 .00217
0.001115 .00226
0.004889 .00396
0.001998 .00122
0.000006 .00437
0.000008 .00499
0.000000 .00497
0.011548 .00499
0.005190 .00193
0.012054 .00280
0.005327 .00184
0.000326 .00087
0.000001 .00325
0.000000 .00399
0.000375 .00366
0.000828 .00101
0.000002 .00319
0.000000 .00448
0.000003 .00456
0.000000 .00557
0.000001 .00368
0.000000 .00178
0.000000 .00363
0.000000 .00529
0.000000 .00567
0.001470 .00531
0.000004 .00387
0.000000 .00471
0.000000 .00496
0.000005 .00500
0.001726 .00480
0.000008 .00404
0.002732 .00573
0.005085 .00353
0.000375 .00525
0.004139 .00568
0.010216 .00392
0.000624 .00426
0.005404 .00374
0.000005 .00306
0.000016 .00455
0.006620 .00390
0.006352 .00433
0.000010 .00416
0.000205 .00188
0.011065 .00358
0.019468 .00282
0.015846 .00397
0.000968 .00325
0.001405 .00358
0.004073 .00345
0.005011 .00430
0.015675 .00206
0.022227 .00437
0.000007 .00220
0.000000 .00461
0.000099 .00438
0.000097 .00380
0.001487 .00317
0.000416 .00296
0.000497 .00274
0.000045 .00271
0.004106 .00401
0.005040 .00390
0.010860 .00301
0.000414 .00341
0.000094 .00302
0.000064 .00296
0.000204 .00357
0.003113 .00195
0.000145 .00248
0.000887 .00383
0.005935 .00352
0.005909 .00389
0.002497 .00299
0.007052 .00363
0.000022 .00096
0.000021 .00344
0.000024 .00341
0.008185 .00310
0.000027 .00352
0.000378 .00346
0.003569 .00355
0.002819 .00339
0.001805 .00335
0.002087 .00349
0.010602 .00169
0.002874 .00304
0.000461 .00303
0.000026 .00292
0.000052 .00331
0.000675 .00278
0.000025 .00285
0.000001 .00202
0.000001 .00263
0.000445 .00239
0.000045 .00281
0.000000 .00277
0.000154 .00263
0.000004 .00252
0.010916 .00266
0.004260 .00227
0.000054 .00197
0.001934 .00261
0.007611 .00218
0.000186 .00265
0.003254 .00248
0.012935 .00156
0.009324 .00300
0.000028 .00275
0.000036 .00262
0.000007 .00241
0.008643 .00249
0.007772 .00146
0.000788 .00211
0.000306 .00213
0.026475 .00213
0.013721 .00177
0.000018 .00156
0.000002 .00184
0.000989 .00191
0.000260 .00070
0.010968 .00109
0.005184 .00032
0.000093 .00154
0.008504 .00042
0.001972 .00147
0.000283 .00004
0.000596 .00131
0.005688 .00106
0.000853 .00145
0.000012 .00108
0.000001 .00051
0.000005 .00088
0.000000 .00086
0.000020 .00082
0.000008 .00061
0.000026 .00074
0.000007 .00095
0.000541 .00106
0.000038 .00129
0.001667 .00121
0.004471 .00116
0.000060 .00104
0.005057 .00153
0.008328 .00142
0.022097 .00110
0.000209 .00069
0.000003 .00139
0.004107 .00117
0.004086 .00086
0.004849 .00126
0.004415 .00109
0.004827 .00071
0.000034 .00097
0.000002 .00036
0.012383 .00087
0.006039 .00104
0.008434 .00106
0.004677 .00051
0.005091 .00066
0.008756 .00037
0.010479 .00052
0.010281 .00161
0.001782 .00171
0.004580 .00104
0.014115 .00074
0.002999 .00132
0.011075 .00085
0.004059 .00025
0.001261 .00023
0.000175 .00009
0.002371 .00113
0.002167 .00107
0.000278 .00025
0.003893 .00015
0.007560 .00067
0.002954 .00076
0.000031 .00076
0.000060 .00082
0.000019 .00081
0.002879 0
0.005205 .00080
0.012488 .00023
0.009465 .00067
0.004398 .00097
0.003143 .00092
0.000582 .00093
0.000690 0
0.000106 0
0.001239 .00012
0.006737 0
0.000008 0
0.000002 .00022
0.001016 .00039
0.000050 .00007
0.000000 .00028
0.000013 .00062
0.000214 .00031
0.000304 .00010
