"id","name","catchment-area","easting","northing","latitude","longitude","river","location","station-level","measuring-authority-id","measuring-authority-station-id","hydrometric-area","opened","closed","station-type","bankfull-flow","structurefull-flow","sensitivity","nrfa-mean-flow","nrfa-peak-flow","feh-pooling","feh-qmed","feh-neither","nhmp","benchmark","live-data","eflag","historic-droughts","marius","outlook-analogues","outlook-esp","factors-affecting-runoff","gdf-start-date","gdf-end-date","gdf-mean-flow","gdf-min-flow","gdf-first-date-of-min","gdf-last-date-of-min","gdf-max-flow","gdf-first-date-of-max","gdf-last-date-of-max","gdf-q95-flow","gdf-q70-flow","gdf-q50-flow","gdf-q10-flow","gdf-q05-flow","gdf-base-flow-index","gdf-day-count","gdf-flow-count","gdf-percent-complete","peak-flow-start-date","peak-flow-end-date","qmed","minimum-altitude","10-percentile-altitude","50-percentile-altitude","90-percentile-altitude","maximum-altitude","saar-1941-1970","saar-1961-1990","lcm2000-woodland","lcm2000-arable-horticultural","lcm2000-grassland","lcm2000-mountain-heath-bog","lcm2000-urban","lcm2007-woodland","lcm2007-arable-horticultural","lcm2007-grassland","lcm2007-mountain-heath-bog","lcm2007-urban","high-perm-bedrock","moderate-perm-bedrock","low-perm-bedrock","mixed-perm-bedrock","high-perm-superficial","low-perm-superficial","mixed-perm-superficial","propwet","bfihost","farl","dpsbar","sprhost","rmed-1d","rmed-2d","rmed-1h","ldp","dplbar","altbar","aspbar","aspvar","ihdtm-height","ihdtm-catchment-area","mean-flood-plain-depth","mean-flood-plain-location","mean-flood-plain-extent","urbext-1990","urbconc-1990","urbloc-1990","urbext-2000","urbconc-2000","urbloc-2000","licence-url","description-summary","description-general","description-station-hydrometry","description-flow-record","description-catchment","description-flow-regime"
19004,"North Esk at Dalmore Weir",81.6,325208,661612,55.8419,-3.19591,"North Esk","Dalmore Weir",132.1,"SEPA-SE","14873",19,"1960-01-01",NA,"MIS",110,54,36.9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"SEI","1960-01-01","2015-09-30",1.602,0.1,"1992-07-30","1992-07-30",27.98,"1990-10-06","1990-10-06",0.36,0.708,1.066,3.378,4.787,0.54,20362,18171,89.24,"1961-03-28",NA,23.89,131.8,218.1,279.5,428.6,577.6,971,949,0.108,0.084,0.4995,0.2669,0.0381,0.1377,0.1133,0.4584,0.2458,0.0428,0.7038,0.0863,0.2099,NA,0.1192,0.111,0.5207,0.49,0.561,0.975,112,37.22,38.3,52.3,8.7,21.3,11.31,299,91,0.26,131.8,79.84,0.285,0.949,0.0316,0.0182,0.64,0.35,0.0185,0.805,0.323,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","A dog-legged ogee section masonry weir on the North Esk.","A dog-legged ogee section masonry weir, 25m wide. Very badly polluted river in the past due to paper waste.","Weir is insensitive. All flows contained. There is no cableway and so the station is rated by wade gaugings up to below QMED, with flows beyond this based on simple extrapolation. Single peak flow rating across the period of record. Extrapolated flows above 15 cumecs should be used with caution and rated flow estimates above QMED are not credible.","Full period of record peak flow data reviewed and released in September 2019 (WINFAP Files v8) and August 2021 (WINFAP Files v10).","Upland catchment draining the SE slopes of the Pentland hills. Bedrock Carboniferous and Devonian sedimentaries with igneous intrusions; predominantly overlain by superficial deposits. Rural catchment - mostly rough grazing with some forest, arable landuse and some urban. Penicuik town has approximately doubled in size during the period of record. Minimal floodplains.","Flashy response. Low flows affected by effluent return and industrial and agricultural abstractions. Several small storage reservoirs in the headwaters."
19005,"Almond at Almondell",229,308623,668601,55.90182,-3.46302,"Almond","Almondell",73.6,"SEPA-SE","14869",19,"1963-01-01",NA,"FV",700,17,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"PEI","1962-10-01","2019-09-30",4.345,0.186,"1972-10-14","1972-10-14",116.1,"1994-12-11","1994-12-11",0.609,1.26,2.168,10.11,16.03,0.36,20819,20451,98.232,"1962-02-01",NA,92.435,74.9,142.4,221.8,293.6,514.2,979,964,0.2072,0.1118,0.3736,0.1698,0.123,0.2518,0.1232,0.3127,0.1827,0.1219,0.7188,0.2099,0.0714,NA,0.0077,0.2468,0.7084,0.51,0.361,0.953,46.5,46.03,35.3,47.8,8.7,32,17.11,221,7,0.28,81.7,232.54,0.607,0.995,0.0647,0.0276,0.715,0.591,0.0465,0.833,0.654,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","Informal Flat V weir. Water abstracted to supply Union Canal.","An informal Flat V triangular weir was installed at the site in June 1970. Structure widened and a sluice (bypass) incorporated - June 1971.","Original control was a natural bar with large boulders before the installation of the informal Flat V triangular weir. The sluice is thought to be for weir maintenance only and has no impact on the flow record. An old stone double arch bridge approx. 300m downstream will likely be a control feature at the highest events when the weir is drowned out. Two ratings are applied; before and after weir installation.","Full period of record peak flow data reviewed and released in August 2021 (WINFAP Files v10).","Catchment with mix of lowlands-uplands. Bedrock mainly Carboniferous rocks; predominantly overlain by superficial deposits. Predominantly grassland, some forest (in headwaters), and arable landuse. Predominantly rural. Floodplain active even at QMED between Harthill and Blackburn in headwaters. Livingston was developed during the period of record and development is still on-going. There are several small coal mining towns in catchment.","Low flows affected by effluent discharge from East Calder sewage works and by abstraction (<1cumecs) to supply Union Canal via a thin plate weir 200m u/s of the station. Flashy response."
19007,"Esk at Musselburgh",330,333828,672327,55.93942,-3.06091,"Esk","Musselburgh",3.3,"SEPA-SE","635",19,"1962-01-01",NA,"VA",200,NA,7.2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"SPEI","1962-01-01","2019-09-30",4.404,0.671,"1989-08-08","1989-08-08",107.3,"1966-08-14","1966-08-14",1.023,1.835,2.732,8.989,13.22,0.53,21092,21092,100,"1961-12-01",NA,72.582,4.2,81.8,248.7,399,651.8,853,837,0.1176,0.2342,0.4279,0.143,0.0638,0.1378,0.247,0.387,0.1554,0.0637,0.5955,0.1712,0.2332,NA,0.2091,0.0538,0.5667,0.49,0.567,0.944,94.8,34.09,35.9,49.9,8.6,44.49,24.75,239,27,0.23,4.3,322.53,0.382,0.843,0.0433,0.0236,0.741,0.626,0.0325,0.818,0.58,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","Velocity area station, the most downstream on the Esk.","Velocity area station in a section with steep banks.","Low flow control is a shingle bar, high flow control formed by bridge buttresses. In extreme flows, control of bridge diminishes and control becomes d/s channel & footbridge. Flows abstracted u/s of the main station along a mill lade were monitored (until late 1980s) - summation needed to give total basin runoff. Low flows can be affected by sewage effluent and mining water. Abstraction immediately u/s bypasses gauged station. Stream controlled by a sluice - it was monitored by Station 22 (Mill Lake at Inveresk), which was closed in the late 1980's (QBAR 0.7cumecs). Peak flow rating derived from current meter gaugings up to 2.5m (about 1.8 QMED), simple extrapolation beyond. High rating appears to oscillate with periodic dredging (a problem in the past) and accretion of a bar on the rb. All flows to date contained.","Historic flooding occurred and is manifested in markings on Inveresk Mill (e.g. 13/08/1948 7.37m, 21/09/1891 6.99m), about 1m above bankfull.","Catchment with mix of lowlands-uplands. Bedrock Carboniferous sediments predominantly overlain by superficial deposits. Land use predominantly exposed moorland of the Moor foothills with arable lands, forest, and several small former mining towns in the valley. Notable floodplains. No significant catchment changes known.","Gladhouse and Roseberry Reservoirs used for water supply."
19010,"Braid Burn at Liberton",16.2,327249,670781,55.92458,-3.16579,"Braid Burn","Liberton",49.9,"SEPA-SE","14876",19,"1969-01-01",NA,"C+C",NA,20,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"N","1969-01-01","2015-09-30",0.192,0.015,"1996-09-17","1996-10-23",8.01,"2000-04-26","2000-04-26",0.034,0.089,0.134,0.366,0.491,0.64,17074,16788,98.325,NA,NA,NA,48.3,100.7,161.5,335.7,485.7,767,770,0.1693,0.0732,0.3193,0.1202,0.3078,0.152,0.0394,0.3762,0.1037,0.3224,0.4156,NA,0.5844,NA,NA,NA,0.5262,0.49,0.514,0.948,113.6,39.6,35.4,47.9,8.8,12.37,6.25,190,2,0.45,48.6,15.4,0.281,0.811,0.0327,0.1532,0.815,0.76,0.1595,0.874,0.777,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","Compound Crump weir on Braid Burn. Some small reservoirs in headwaters that are drawn down for flood prevention.","Compound Crump weir without a cableway. Removed from peak flows dataset in August 2021 (WINFAP Files v10).","Flows were originally measured by a Crump profile weir and trapezoidal flume in parallel. The flume suffered from choking by domestic refuse and children's dams and so was replaced in Oct 1985 by a second Crump profile weir d/s of the first. Culverts present about 300m d/s and may back up in flood situations. Theoretical rating with current meter gaugings up to 0.4m (0.4 QMED). Changed after new structure built in 1985. Possible new hydraulic model rating once flood prevention scheme complete. Crump weir can be affected by deposition when only the lower crest is in use (but this clears once the higher crest is also in use). Data removed from peak flows dataset due to very poor confidence in peak flows as essentially designed and operated for low flows - no flood gaugings, backing up from downstream culvert and poor containment.","Flows during the flood prevention works are still under review and therefore not held on the NRFA.","Mostly low-lying catchment with the headwater tributaries steeply rising in the Pentland Hills. Complex bedrock geology - Silurian/Devonian sedimentaries and igneous intrusions; with half overlain by superficial deposits. The lower part of the catchment is extensively urbanised. There are several small reservoirs in the headwaters with forest and some arable landuse. Progressive urbanisation.","Flood prevention works affected the site (completed in 2011). Torduff, Clubbiedean and Bonaly are small reservoirs in headwaters that are drawn down for flood prevention. Combined sewer overflows discharge into the stream."
19012,"Water of Leith at Colinton",72,321190,668792,55.90576,-3.26214,"Water of Leith","Colinton",92.2,"SEPA-SE","14880",19,"1976-01-01",NA,"FV",NA,NA,19.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"SR","1976-01-01","2015-09-30",1.34,0.068,"1978-06-29","1978-06-30",65.4,"2000-04-26","2000-04-26",0.31,0.478,0.741,2.865,4.16,0.51,14518,14255,98.188,NA,NA,NA,91,187.2,271.5,391.2,564.4,965,925,0.1005,0.1227,0.306,0.413,0.035,0.1194,0.1819,0.2623,0.3842,0.0306,0.9512,NA,0.0488,NA,0.0125,0.0753,0.7468,0.49,0.377,0.877,80.6,42.63,38.4,50.7,9,24.85,13.66,282,348,0.47,92,74.05,0.372,0.913,0.0392,0.0161,0.689,0.263,0.0152,0.821,0.283,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","A station to the SE of Edinburgh built to measure compensation flows from reservoirs in the Lothian Region.","Flat V weir. Built to measure compensation flows from reservoirs in the Lothian region; these dominate the summer hydrographs. Both SEPA and Scottish Water measure here.","Flows fully contained in vertical channel walls. Uses theoretical rating (confirmed by gauging). The station is gauged by wading up to 0.5m, ADP gauging is carried out at higher levels from a bridge ~500m downstream. There is a small inflow channel upstream of the weir (right bank) which can input at high flows and cause a bit of turbulence. There are no problems with weed growth at the station.",NA,"Catchment is almost entirely rural. The SW edge of the catchment is steep (Pentland Hills) rising to over 500m; the rest has moderate slopes. Bedrock predominantly permeable with ~85% superficial deposit cover. Land use grassland and arable with some forestry and two major reservoirs.","Regime affected by Water of Leith flood prevention scheme."
19021,"South Esk at Cowbridge",156,333843,667779,55.89857,-3.05955,"South Esk","Cowbridge",28,"SEPA-SE","5981",19,"1990-01-01",NA,"VA",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","1998-01-01","2015-09-30",2.35,0.493,"2002-10-09","2002-10-09",42.25,"2002-10-22","2002-10-22",0.604,0.982,1.504,4.826,6.932,0.53,6482,4656,71.83,"1992-06-01",NA,38.564,28.7,106.1,250.2,388.5,651.8,837,818,0.1108,0.2718,0.4486,0.0919,0.0586,0.1348,0.2673,0.3874,0.1329,0.062,0.5919,0.1665,0.2415,NA,0.2625,0.0521,0.5437,0.49,0.56,0.916,83.8,32.4,35.7,49.6,8.7,31.02,16.28,246,358,0.34,28.7,155.93,0.353,0.982,0.0418,0.0265,0.781,0.307,0.0321,0.83,0.314,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","The last station on the River South Esk before the confluence with the River North Esk.","Station added to peak flows dataset in August 2021 (WINFAP Files v10).","Rocky riffle downstream is section control for low flows. Medium to high flows controlled by downstream open channel hydraulics and downstream bridges may be a factor at highest flows. The rating parameters could be adjusted to better align with the channel physics, but the ratings themselves are a good fit to the available gauging's and flows are contained.",NA,NA,NA
20003,"Tyne at Spilmersford",161,345618,668891,55.91003,-2.8715,"Tyne","Spilmersford",69.1,"SEPA-SE","14871",20,"1965-01-01",NA,"VA",130,NA,26.3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"I","1965-01-01","2015-09-30",1.484,0.141,"1976-08-20","1976-09-20",59.98,"2000-11-07","2000-11-07",0.279,0.536,0.85,3.026,4.869,0.5,18535,18472,99.66,"1962-02-01",NA,34.258,69.9,98.6,184.2,321.6,495.3,758,724,0.1326,0.4916,0.3099,0.053,0.0102,0.1439,0.5327,0.2562,0.0572,0.0099,0.8383,0.024,0.1377,NA,0.1548,0.0089,0.7242,0.43,0.52,0.987,65.6,33.89,32.7,48.7,8.4,22.51,10.84,195,5,0.26,70.1,162.77,0.338,0.826,0.0453,0.0026,NA,NA,0.0045,NA,NA,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","Velocity area station, flood warning station.","Velocity area station. The channel reach is within steep, high flood banks which contain all floods in record. Flows from this station are used as part of the Haddington flood warning system.","In September 1975 an irregular broad-crested weir was installed (concrete-topped gabion weir with a V notch to increase sensitivity at low flows). Non-modular for high flows, weir drowns out. Before that date the low flow control was a gravel bar. The gauge board was lowered by 0.125m on 1/9/1969. Two ratings (before and after gabion control installation in 1972) both derived from current meter gaugings, simple extrapolation beyond. Rating revised in 2016. Some issues with fungal growth on the weir, but it is maintained regularly.","Full period of record peak flow data reviewed and released in April 2017 (WINFAP Files v5).","The headwaters drain exposed moorland of the Lammermuir Hills. Bedrock mostly impermeable predominantly overlain by superficial deposits (thin soils). Silurian/Devonian sedimentaries. Land use predominantly arable with some forest. No significant catchment changes known.","Flashy response. Low flows are affected by industrial and agricultural abstractions."
20007,"Gifford Water at Lennoxlove",64,351108,671699,55.93585,-2.7842,"Gifford Water","Lennoxlove",51.4,"SEPA-SE","14874",20,"1973-01-01",NA,"VA",NA,NA,19.7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"N","1973-01-01","2015-09-30",0.76,0.05,"2015-09-11","2015-09-11",46.09,"1983-05-28","1983-05-28",0.156,0.303,0.468,1.496,2.145,0.59,15613,14974,95.907,"1973-01-01",NA,16.895,50.6,98.1,196.2,390,525.9,790,770,0.1534,0.3377,0.3116,0.1907,0.0025,0.1617,0.3983,0.2703,0.1612,0.0057,0.5457,NA,0.4543,NA,0.128,2e-04,0.5709,0.43,0.527,0.977,112.5,32.77,40.3,53.1,9,20.82,11.75,221,345,0.39,50.6,67.78,0.246,0.681,0.0294,0,NA,NA,4e-04,NA,NA,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","Velocity area station, on Gifford Water that drains the steep moorland slopes of the Lammermuir Hills.","Velocity area station. The recorder is sited immediately d/s of a footbridge on a slight bend in a natural channel.","The low flow control is a stable rock bar. The likely high flow control is a bend in the channel. One ratings derived from current meter gaugings, simple extrapolation beyond. Rating revised in 2016. There are some issues with velocity drawdown from the inlet pipe at the station, a stilling chamber was constructed but has been washed into the channel and needs to be replaced. The inlet pipe can also become blocked at low flows.","A large tree fell into the channel and was present between late 2013 and early 2014, causing possible gravel accumulation (resulting in lower flows from higher levels). Tree removed in early 2014, but low flows from then to present are suspect due to uncertainty in rating. Full period of record peak flow data reviewed and released in April 2017 (WINFAP Files v5).","Mostly low-lying catchment with headwaters rising quite steeply. Bedrock predominantly Silurian and Ordovician; predominantly overlain by superficial deposits. The catchment drains the steep moorland slopes of the Lammermuir Hills. Arable land use dominates the lowlands with some forest. No significant catchment changes known.","The flow regime is natural and flashy."
21003,"Tweed at Peebles",694,325821,640017,55.64801,-3.18025,"Tweed","Peebles",155,"SEPA-SE","14979",21,"1959-01-01",NA,"VA",220,NA,6.6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"SP","1959-10-01","2019-09-30",16.036,1.928,"1959-10-07","1959-10-11",306.7,"2015-12-05","2015-12-05",3.441,6.661,10.26,34.78,47.26,0.55,21915,21915,100,"1939-06-01",NA,177.466,156.8,220.2,323.4,539.2,838,1199,1140,0.1477,0.0652,0.5252,0.2476,0.0084,0.1822,0.0694,0.5269,0.2113,0.0055,0.0398,0.0913,0.8689,NA,0.0877,0.0708,0.3687,0.56,0.517,0.974,181,37.16,37.7,49.7,9.4,49.87,25.22,355,25,0.05,156.8,698.12,0.615,0.854,0.0506,0.0019,NA,NA,0.0025,NA,NA,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","Velocity area station with storage in headwater reservoirs.","Velocity area station with cableway. From 1939 to 1958 flows measured at Priorsford Bridge about 360m u/s; records correlated from 1950.","Natural section (~45m wide) with stable gravel bed control. At very low levels stilling well tends to bottom out. Bypassing occurs on lb at floods above about 2.8m. Peak flow rating derived from current meter gaugings, simple extrapolation beyond. Prior to 1959 no direct measurements were made and the rating was derived by correlation with Priorsford Bridge (edition 4). Rating revised in 2016.","Monthly naturalised flows available. Pre-1959 data is rejected because the gauging station was moved 360m upstream from Priorsford Bridge. Full period of record peak flow data reviewed and released in April 2017 (WINFAP Files v5). Chart data between 1960 & 1986 was digitised in 2016.","Upland catchment. Bedrock mostly impervious Palaeozoic and igneous formations with substantial superficial deposits in the valleys. Hill grazing predominates; some improved grassland to N; elsewhere some forest and arable. Notable floodplains. Fruid Reservoir (1968).","Storage in Talla, Fruid, Baddinsgill and West Water Reservoirs for public water supply - overall runoff is diminished."
21005,"Tweed at Lyne Ford",373,320597,639747,55.64475,-3.26315,"Tweed","Lyne Ford",167,"SEPA-SE","14973",21,"1961-01-01",NA,"VA",227,NA,9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"SP","1961-10-01","2019-09-30",9.586,1.154,"1984-08-27","1984-08-27",185.5,"1974-01-30","1974-01-30",2.111,3.981,6.006,20.43,28.4,0.54,21184,20819,98.277,"1961-03-13",NA,124.512,170,222.6,359.8,579.5,838,1311,1255,0.1669,0.0536,0.5029,0.2645,0.0052,0.1839,0.0534,0.5235,0.229,0.0035,NA,0.0301,0.9699,NA,0.0644,0.0555,0.3194,0.66,0.507,0.965,202.6,37.73,39.9,52.7,9.9,42.68,23.58,379,341,0.08,170.1,377.18,0.623,0.789,0.0481,8e-04,NA,NA,0.0016,NA,NA,"http://eidc.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/nrfa-data-terms-and-conditions-for-api-access-to-time-series-data-and-metadata/plain","Velocity area station. Flows affected by abstractions and compensation releases from Fruid and Talla Reservoirs.","Velocity area station with cableway; about 20m wide natural section on straight gravel bedded reach.","Left bank overtopped during large floods (>2m). Slight seasonal weed growth effect on rating. Peak flow rating derived from current meter gauging up to 2.6m (about 0.9 QMED), simple extrapolation beyond.","Monthly naturalised flows available.","Upland catchment. Bedrock mainly Silurian shale with alluvial gravel in valley bottoms. Land use principally hill grazing; some forest. Fruid Reservoir (1968). Notable floodplain.","Runoff diminished by abstractions from Fruid and Talla Reservoirs for public water supply - compensation releases also influence flow regime."
